dataset	cache_policy	cache_ratio	hit_rate
PA	presample	0.17	0.986405
PA	presample	0.18	0.986423
PA	presample	0.19	0.98644
PA	presample	0.2	0.986458
PA	presample	0.21	0.986476
PA	presample	0.22	0.986493
PA	presample	0.23	0.986511
PA	presample	0.24	0.986528
PA	presample	0.25	0.986545
PA	presample	0.26	0.986563
PA	presample	0.27	0.986581
PA	presample	0.28	0.987158
PA	presample	0.29	0.987619
PA	presample	0.3	0.988049
PA	presample	0.31	0.98839
PA	presample	0.32	0.988766
PA	presample	0.33	0.989135
PA	presample	0.34	0.98953
PA	presample	0.35	0.98992
PA	presample	0.36	0.990238
PA	presample	0.37	0.990454
PA	presample	0.38	0.990616
PA	presample	0.39	0.990771
PA	presample	0.4	0.990834
PA	presample	0.41	0.990893
PA	presample	0.42	0.990965
PA	presample	0.43	0.991032
PA	presample	0.44	0.99119
PA	presample	0.45	0.991357
PA	presample	0.46	0.991505
PA	presample	0.47	0.991674
PA	presample	0.48	0.991878
PA	presample	0.49	0.992009
PA	presample	0.5	0.992132
PA	presample	0.51	0.992215
PA	presample	0.52	0.992354
PA	presample	0.53	0.99254
PA	presample	0.54	0.992738
PA	presample	0.55	0.992938
PA	presample	0.56	0.99314
PA	presample	0.57	0.993343
PA	presample	0.58	0.993544
PA	presample	0.59	0.993747
PA	presample	0.6	0.993948
PA	presample	0.61	0.994148
PA	presample	0.62	0.994338
PA	presample	0.63	0.994509
PA	presample	0.64	0.994678
PA	presample	0.65	0.994848
PA	presample	0.66	0.995017
PA	presample	0.67	0.995183
PA	presample	0.68	0.995352
PA	presample	0.69	0.99552
PA	presample	0.7	0.99569
PA	presample	0.71	0.995857
PA	presample	0.72	0.996026
PA	presample	0.73	0.996195
PA	presample	0.74	0.996361
PA	presample	0.75	0.996532
PA	presample	0.76	0.996702
PA	presample	0.77	0.996873
PA	presample	0.78	0.997043
PA	presample	0.79	0.997212
PA	presample	0.8	0.997381
PA	presample	0.81	0.99755
PA	presample	0.82	0.997718
PA	presample	0.83	0.997887
PA	presample	0.84	0.998053
PA	presample	0.85	0.998223
PA	presample	0.86	0.998403
PA	presample	0.87	0.998603
PA	presample	0.88	0.998783
PA	presample	0.89	0.998905
PA	presample	0.9	0.999026
PA	presample	0.91	0.999147
PA	presample	0.92	0.999269
PA	presample	0.93	0.999423
PA	presample	0.94	0.999555
PA	presample	0.95	0.999594
PA	presample	0.96	0.999661
PA	presample	0.97	0.999743
PA	presample	0.98	0.999828
PA	presample	0.99	0.999916
PA	presample	1	1
CF	degree	0	0
CF	degree	0.01	0.117098
CF	degree	0.02	0.19333
CF	degree	0.03	0.255978
CF	degree	0.04	0.310037
CF	degree	0.05	0.357807
CF	degree	0.06	0.400788
CF	degree	0.07	0.439862
CF	degree	0.08	0.47567
CF	degree	0.09	0.508691
CF	degree	0.1	0.539275
CF	degree	0.11	0.567723
CF	degree	0.12	0.594258
CF	degree	0.13	0.619097
CF	degree	0.14	0.642309
CF	degree	0.15	0.664111
CF	degree	0.16	0.684541
CF	degree	0.17	0.703784
CF	degree	0.18	0.721773
CF	degree	0.19	0.738685
CF	degree	0.2	0.75462
CF	degree	0.21	0.769683
CF	degree	0.22	0.783698
CF	degree	0.23	0.796945
CF	degree	0.24	0.809495
CF	degree	0.25	0.82115
CF	degree	0.26	0.832191
CF	degree	0.27	0.842557
CF	degree	0.28	0.852281
CF	degree	0.29	0.861464
CF	degree	0.3	0.870024
CF	degree	0.31	0.878216
CF	degree	0.32	0.885758
CF	degree	0.33	0.892865
CF	degree	0.34	0.899575
CF	degree	0.35	0.905717
CF	degree	0.36	0.91159
CF	degree	0.37	0.917093
CF	degree	0.38	0.922243
CF	degree	0.39	0.927053
CF	degree	0.4	0.931591
CF	degree	0.41	0.935885
CF	degree	0.42	0.939816
CF	degree	0.43	0.943517
CF	degree	0.44	0.946997
CF	degree	0.45	0.95027
CF	degree	0.46	0.953196
CF	degree	0.47	0.956026
CF	degree	0.48	0.958696
CF	degree	0.49	0.961265
CF	degree	0.5	0.963472
CF	degree	0.51	0.965692
CF	degree	0.52	0.967666
CF	degree	0.53	0.96961
CF	degree	0.54	0.971348
CF	degree	0.55	0.973084
CF	degree	0.56	0.97457
CF	degree	0.57	0.976073
CF	degree	0.58	0.97744
CF	degree	0.59	0.978687
CF	degree	0.6	0.979938
CF	degree	0.61	0.981111
CF	degree	0.62	0.982107
CF	degree	0.63	0.983115
CF	degree	0.64	0.984125
CF	degree	0.65	0.985075
CF	degree	0.66	0.985822
CF	degree	0.67	0.986586
CF	degree	0.68	0.987345
CF	degree	0.69	0.988095
CF	degree	0.7	0.98892
CF	degree	0.71	0.989516
CF	degree	0.72	0.990025
CF	degree	0.73	0.990532
CF	degree	0.74	0.99106
CF	degree	0.75	0.991578
CF	degree	0.76	0.992094
CF	degree	0.77	0.992606
CF	degree	0.78	0.99314
CF	degree	0.79	0.993719
CF	degree	0.8	0.994102
CF	degree	0.81	0.994377
CF	degree	0.82	0.994653
CF	degree	0.83	0.994927
CF	degree	0.84	0.995203
CF	degree	0.85	0.995482
CF	degree	0.86	0.995764
CF	degree	0.87	0.996064
CF	degree	0.88	0.99639
CF	degree	0.89	0.996671
CF	degree	0.9	0.996948
CF	degree	0.91	0.997226
CF	degree	0.92	0.997504
CF	degree	0.93	0.997779
CF	degree	0.94	0.998063
CF	degree	0.95	0.998344
CF	degree	0.96	0.998635
CF	degree	0.97	0.998955
CF	degree	0.98	0.999265
CF	degree	0.99	0.99958
CF	degree	1	1
CF	presample	0	0
CF	presample	0.01	0.119848
CF	presample	0.02	0.197027
CF	presample	0.03	0.259639
CF	presample	0.04	0.313372
CF	presample	0.05	0.360758
CF	presample	0.06	0.403314
CF	presample	0.07	0.441847
CF	presample	0.08	0.477181
CF	presample	0.09	0.509722
CF	presample	0.1	0.540045
CF	presample	0.11	0.567825
CF	presample	0.12	0.593998
CF	presample	0.13	0.618538
CF	presample	0.14	0.641338
CF	presample	0.15	0.662719
CF	presample	0.16	0.68276
CF	presample	0.17	0.701401
CF	presample	0.18	0.718926
CF	presample	0.19	0.735522
CF	presample	0.2	0.751584
CF	presample	0.21	0.765843
CF	presample	0.22	0.779643
CF	presample	0.23	0.792764
CF	presample	0.24	0.804697
CF	presample	0.25	0.816468
CF	presample	0.26	0.826938
CF	presample	0.27	0.837239
CF	presample	0.28	0.846797
CF	presample	0.29	0.855454
CF	presample	0.3	0.864477
CF	presample	0.31	0.871807
CF	presample	0.32	0.879127
CF	presample	0.33	0.886661
CF	presample	0.34	0.892787
CF	presample	0.35	0.898542
CF	presample	0.36	0.904528
CF	presample	0.37	0.910638
CF	presample	0.38	0.914986
CF	presample	0.39	0.919273
CF	presample	0.4	0.923689
CF	presample	0.41	0.928165
CF	presample	0.42	0.932671
CF	presample	0.43	0.935887
CF	presample	0.44	0.938656
CF	presample	0.45	0.941521
CF	presample	0.46	0.944434
